Désignation;Référence; PU.HT ;;;;;
GILET FLUORESCENT;JAUNE; 23,00   ;;;;;
GANT EN CUIR;DOKER; 22,00   ;;;;;
TRAITEMENT ACIER;; 60,00   ;;;;;
TRAITEMENT ACIER;; 60,00   ;;;;;
KIT NECESSAIRE;S/M; 384,15   ;;;;;
RECHARGE CARTE CARBURANT;N°31817719; 4 545,45   ;;;;;
JOINT TORIQUE;74X5,7; 14,95   ;;;;;
JOINT TORIQUE;119X5,7; 23,40   ;;;;;
COUPELLE HYDRAULIQUE;; 39,00   ;;;;;
RACLEUR ;; 26,00   ;;;;;
RACLEUR ;; 26,00   ;;;;;
COUPELLE HYDRAULIQUE;; 39,00   ;;;;;
KIT NECESSAIRE;S/M; 169,00   ;;;;;
OXYGENE;; 46,69   ;;;;;
ELECTRODE;E 312-17 D 4MM CASTOLIN; 330,00   ;;;;;
RECHARGE CARTE CARBURANT;N°2126592; 5 454,55   ;;;;;
JOINT A LEVRE;D 68MM 80Sh; 20,70   ;;;;;
MANCHON EN CAOUATCHOUC;45/37,5X28X141 AVEC EMBOUT CONIQUE; 51,75   ;;;;;
BAGUE EN CAOUTCHOUC;73X110X18; 28,75   ;;;;;
TUBE PVC;160 PN6; 92,00   ;;;;;
COLLE ;PVC 1KG; 90,00   ;;;;;
RIVET;4X20; 0,30   ;;;;;
TUBE PEHD;63PN10; 25,00   ;;;;;
TUBE PEHD;32PN16; 9,20   ;;;;;
MANCHON ;"1"" LISSE"; 10,60   ;;;;;
MANCHON PEHD;63X63; 65,00   ;;;;;
TE PEHD;"63X2"""; 65,00   ;;;;;
MANCHON PEHD;50x50; 58,00   ;;;;;
RACCORD UNION;"1"" NOIR EE"; 48,94   ;;;;;
DIAGNOSTIC ET ENTRETIEN;MOTEUR C9 SERIE MBD05804; 6 000,00   ;;;;;
TREUIL HYDRAULIQUE ;AVEC CABLE DE 12 TONNES; 27 000,00   ;;;;;
BILLE ;50MM; 220,00   ;;;;;
CIMENT;CPJ 45 SUR PALLETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
LOCATION CAMION PLATEAU;; 4 000,00   ;;;;;
LOCATION CAMION PORTE CHARS;; 6 500,00   ;;;;;
PRESSE ETOUPE;ELECTROPOMPE SAER 5,5KW; 1 100,00   ;;;;;
PRESSE ETOUPE;ELECTROPOMPE SAER 4KW; 1 100,00   ;;;;;
DISQUE DUR EXTERNE;2 TERA ADATA; 990,00   ;;;;;
GASOIL;; 11,79   ;;;;;
POMPE D'AMORSSAGE;KOMATSU S/M; 1 150,00   ;;;;;
CIMENT;CPJ 45 SUR PALLETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
RACCORD PEHD;"32X1"" MALE"; 21,00   ;;;;;
MANCHON PEHD;32X32; 22,50   ;;;;;
COMPARATEUR ;0-10MM-P0,1MM-60MM; 200,00   ;;;;;
BASE MAGNETIQUE;60KG; 180,00   ;;;;;
OBTURATEUR SIMPLE;R 74 LG=1000MM; 5 577,00   ;;;;;
COURONNE PLEINE;66 F/N ROD MALE MARQUE ROKPECKER; 8 240,00   ;;;;;
CONFECTION CABLE A RESSORT;S/M; 500,00   ;;;;;
CONFECTION FLEXIBLE;3/4 R2 LG=3MT FF BSP; 339,45   ;;;;;
CONFECTION FLEXIBLE;1/2 R2 LG=3MT FF BSP; 224,34   ;;;;;
ADAPTEUR ;"3/8"" A GAZ"; 14,40   ;;;;;
ADAPTEUR ;"3/4"" A GAZ"; 29,40   ;;;;;
ADAPTEUR ;"1/2"" A GAZ"; 18,62   ;;;;;
CONFECTION FLEXIBLE;"1"" R2 LG=5MT FF BSP"; 713,22   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 161,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;15W40 SUPER 1300 204LT; 6 685,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;HD 90 20LT; 652,00   ;;;;;
HUILE;DTE 26 20LT; 1 100,00   ;;;;;
CABLE ANTIGIRATOIRE;D 10MM; 24,00   ;;;;;
REDUCTION;"1""MX3/4F HYDRAULIQUE"; 42,00   ;;;;;
ADAPTEUR ;"3/4"" HYDRAULIQUE"; 18,00   ;;;;;
ADAPTEUR ;"1"" HYDRAULIQUE"; 29,50   ;;;;;
MANOMETRE;315 BARS D 63MM; 98,00   ;;;;;
TE HYDRAULIQUE;"1"""; 215,00   ;;;;;
MOTEUR HYDRAULIQUE;SAUER 90M55; 7 000,00   ;;;;;
BRIDE;SAUER 90M55; 150,00   ;;;;;
CIMENT;45 CPJ SUR PALETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
CABLE ELECTRIQUE SOUPLE;2X1,5MM2; 6,25   ;;;;;
PROLONGATEUR;3P+T 32A; 104,17   ;;;;;
PROLONGATEUR;2P+T16A; 70,83   ;;;;;
MANCHON ;"1"" G/D"; 21,00   ;;;;;
OPTIQUE DE PHARE;ENGIN S/M 24V; 300,00   ;;;;;
TUBE PVC;160 PN6; 92,00   ;;;;;
TUBE PVC;250 PN10; 208,08   ;;;;;
CONFECTION FLEXIBLE;"1""1/4 LG=1,57 MT D/C 45°"; 561,75   ;;;;;
VIS;HR 20X120; 26,00   ;;;;;
CLE MALE COUDE;D 5MM; 9,00   ;;;;;
BOULON;HR 10X20; 3,00   ;;;;;
CONFORTEMENT DE LA FALISE COTE MER;; 50 000,00   ;;;;;
CONFORTEMENT PAROI CLOUE DU TALUS ROCHEUX;; 40 000,00   ;;;;;
PRESENCE SUR SITE;; 4 100,00   ;;;;;
LOCATION VEHICULE DE PERSONNEL;PERIODE 02/2024; 442,30   ;;;;;
ARRET D'HUILE;25.4X44.45,45; 27,60   ;;;;;
ROULEMENT A BILLE;6205 2RS C3; 7,20   ;;;;;
CIRCLIPS;INT 52MM; 3,60   ;;;;;
CIMENT;45 CPJ SUR PALETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
CHARGE ET VERIFICATION EXTINCTEUR;6 KG; 70,00   ;;;;;
LOCATION PICK-UP;TOYOTA 18914-B-59; 250,00   ;;;;;
MEULE PLATE;200X25X32 C80; 180,00   ;;;;;
MEULE PLATE;200C25C32 A40; 120,00   ;;;;;
ROULEMENT A GALET;32013 ROLLWAY; 205,00   ;;;;;
ROULEMENT A BILLE;6308 ZZC3 ROLLWAY; 95,00   ;;;;;
POMPE IMMERGEE;"96X/23 4"" SAER/MOTEUR MEGA 2HP-380V"; 4 333,33   ;;;;;
TOLE NOIR;3000X1500X3MM 01 UNITE; 10,60   ;;;;;
CORNNIERE;40X40X4MM EN 6MT 02 UNITES; 8,50   ;;;;;
CORNNIERE;45X45X4,5MM EN 6MT 02 UNITES; 8,50   ;;;;;
TUBE PEHD;40 PN10; 9,80   ;;;;;
RACCORD PEHD;"40X1""1/4 MALE"; 25,00   ;;;;;
CORDE EN NYLON;D 12 MM; 5,00   ;;;;;
TUBE PVC;160 PN6; 92,00   ;;;;;
CABLE ELECTRIQUE SOUPLE;3X2,5MM2; 10,41   ;;;;;
LOCATION CHARIOT ELEVATEUR;TELESCOPIQUE 14MT JCB; 800,00   ;;;;;
TUBE TECALENT;4X6 BLANC; 8,21   ;;;;;
MAMELON;"1"" NOIR EE"; 14,00   ;;;;;
MANCHON;"1"" NOIR EE"; 20,00   ;;;;;
GASOIL;; 11,91   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;15W40 SUPER 1300 204LT; 6 685,00   ;;;;;
GRAISSE;MP2 18KG; 720,00   ;;;;;
CONFECTION REDUCTION;60 CONIQUE F X ATLAS 76M; 1 400,00   ;;;;;
CONFECTION REDUCTION;60 CONIQUE M X ATLAS 76 F; 1 400,00   ;;;;;
CONFECTION TARAUD;D 85 LG=300 MM DROIT 60 CONIQUE F; 1 700,00   ;;;;;
CONFECTION REDUCTION;"60 CONIQUE X 1"" F"; 800,00   ;;;;;
CONFECTION REDUCTION;"60 CONIQUE X1"" M"; 800,00   ;;;;;
CONFECTION AXE;S/M; 1 000,00   ;;;;;
CONFECTION MANDRIN DENTE;ACCOUPLEMENT D'UNE POMPE HYD; 1 300,00   ;;;;;
CIMENT;CPJ 45 SUR PALLETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
MOTEUR HYDRAULIQUE;VOLVO F11-19; 5 000,00   ;;;;;
BEC CHALUMEAU;16/10MM; 50,00   ;;;;;
CIMENT;CPJ 45 SUR PALLETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
COUDE;"2""1/2 45° FF"; 380,00   ;;;;;
RACCORD PEHD;"75X2""1/2 MALE"; 135,00   ;;;;;
PRESSE ETOUPE;M7N D 25 VITON GRAINFIXE G60 SIC; 1 000,00   ;;;;;
COURONNE IMPREGNEE;76T2 A6; 3 145,00   ;;;;;
MANCHON ALESEUR;76T2 IMPREGNEE; 1 545,00   ;;;;;
SIKAFLUID;R VRAC; 12,15   ;;;;;
SIKAFLUID;R VRAC; 12,15   ;;;;;
EXTINCTEUR ;A POUDRE A SECHE 10KG; 108,33   ;;;;;
REPARATION ;PEINTURE ; 33,33   ;;;;;
EXTINCTEUR ;CO2 6 KG; 791,67   ;;;;;
COURROIE;C60 LISSE; 95,20   ;;;;;
OBTURATEUR SIMPLE;R 74 LG=1000MM; 5 577,00   ;;;;;
SIKAFLUID;R VRAC; 12,15   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;15W40 SUPER 1300 204LT; 6 685,00   ;;;;;
HUILE;DTE 26 20LT; 1 100,00   ;;;;;
GRAISSE;MP2 18KG; 720,00   ;;;;;
RECHARGE CARTE CARBURANT; N°2474694; 5 454,55   ;;;;;
RECHARGE CARTE CARBURANT; N°31817719; 4 545,45   ;;;;;
FILET DE VIS;180D TUBE 49 DROITE; 225,00   ;;;;;
ACCOUPLEMENT;OTEX 45 EN ACIER; 2 164,20   ;;;;;
ROULEMENT A BILLE;6013 ZZC3 ROLLWAY; 153,40   ;;;;;
ROULEMENT A BUTEE;51213 ROLLWAY; 124,20   ;;;;;
JOINT TORIQUE;81,92X5,33 NBR; 7,70   ;;;;;
ARRET D'HUILE;60X70X10; 7,80   ;;;;;
JOINT CHEVRON;60X80X37; 205,80   ;;;;;
ROULEMENT A GALET;30210 ROLLWAY; 137,40   ;;;;;
ROULEMENT A GALET;32019 VBF; 91,20   ;;;;;
ROULEMENT A GALET;30306 ROLLWAY; 102,60   ;;;;;
ROULEMENT A AIGUILLE;K35X40X17 CMB; 10,80   ;;;;;
ROULEMENT A GALET;32210 ROLLWAY; 150,00   ;;;;;
ARRET D'HUILE;50X80X10; 31,80   ;;;;;
ARRET D'HUILE;95X120X13; 18,60   ;;;;;
ARRET D'HUILE;85X105X12; 52,20   ;;;;;
GASOIL;; 11,78   ;;;;;
VALVE;9111377002; 1 946,16   ;;;;;
REGULATEUR;2635355106; 6 314,63   ;;;;;
PC PORTABLE;HP PAVILLION X360 14 Core Ti7-1355U 16G 512 SSD WIN11; 9 399,30   ;;;;;
REMISE EN ETAT POMPE HYDRAULIQUE;60 REMIQUE F X ATLAS 76M; 855,00   ;;;;;
ENTETE;A4 CONFONDA; 0,90   ;;;;;
TOLE NOIR;2000X1000X20MM; 4 960,00   ;;;;;
ACIER CREUX;30X15 20MV6 (31x11) LG=1000 MM; 38,00   ;;;;;
TIGE CHROME;35x550mm; 300,00   ;;;;;
BRONZ ROND;B3 D 70X75MM; 600,00   ;;;;;
RONDELLE EN INOX;D 100X50 EP 6MM; 43,49   ;;;;;
BOITE DE JOINT TORIQUE;60 BOIIQUE F X ATLAS 76M; 140,00   ;;;;;
VIS;BTR 16X80; 15,00   ;;;;;
VIS;BTR 16X60; 8,50   ;;;;;
VIS;BTR 16X60; 8,50   ;;;;;
CIMENT;CPJ 45 SUR PALLETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
TRAITEMENT TUBE RODE;110X130X250MM; 410,00   ;;;;;
CONFECTION FLEXIBLE;5/8 LG=2MT FF; 318,43   ;;;;;
CONFECTION FLEXIBLE;1/2 LG=3MT MF; 398,68   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=3MT FF; 384,93   ;;;;;
DURITE A CHAUD;D INT 60 MM 100C°; 160,00   ;;;;;
ADAPTEUR;"3/4"" "; 105,00   ;;;;;
RACCORD UNION;"1"" NOIR EE"; 42,00   ;;;;;
RACCORD UNION;"2"" NOIR EE"; 140,00   ;;;;;
TUBE TECALENT;60 TUBIQUE F X ATLAS 76M; 8,21   ;;;;;
MAMELON ;"1"" NOIR EE"; 14,00   ;;;;;
ADAPTEUR ;"1/4"" A GAZ"; 11,00   ;;;;;
TE HYDRAULIQUE;"1/4"" S/M"; 153,57   ;;;;;
TUBE PEHD;32PN16; 9,20   ;;;;;
COURONNE PLEINE;66 F/N ROD MALE MARQUE ROKPECKER; 8 240,00   ;;;;;
FILTRE A GASOIL;1R-0751 CAT; 514,94   ;;;;;
FILTRE A HUILE;1R1808 CAT; 998,94   ;;;;;
FILTRE SEPARATEUR GASOIL;513-440 CAT; 1 139,68   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
CIMENT;CPJ 45 SUR PALLETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
PRESSE ETOUPE;D 20MM; 1 000,00   ;;;;;
FILTRE A HUILE;FL670; 280,00   ;;;;;
FILTRE A GASOIL;FF574; 64,00   ;;;;;
FILTRE A HUILE;FL4054; 144,00   ;;;;;
FILTRE A HUILE;FL4054; 144,00   ;;;;;
FILTRE A GASOIL;FF3841; 208,00   ;;;;;
FILTRE A GASOIL;FS1302; 384,00   ;;;;;
FILTRE A GASOIL;P551066; 384,00   ;;;;;
FILTRE A GASOIL;PF7735; 208,00   ;;;;;
FILTRE A HUILE;KRE 2301E; 236,00   ;;;;;
FILTRE HYDRAULIQUE;HF 6269; 296,00   ;;;;;
FILTRE A GASOIL;60282117 SR265 C10; 1 248,57   ;;;;;
FILTRE A GASOIL;60151839 SR256 C10; 634,34   ;;;;;
FILTRE A GASOIL;60333882 SR265 C10; 253,50   ;;;;;
FILTRE SEPARATEUR GASOIL;60249072 SR256 C10; 640,00   ;;;;;
FILTRE A HUILE;B222100000494=1876110070; 10,00   ;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 3 490,00   ;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 3 490,00   ;;;;;
OBTURATEUR SIMPLE;R 74 LG=1000 MM; 4 600,00   ;;;;;
CIMENT;CPJ 45 SUR PALLETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
GASOIL;; 11,75   ;;;;;
PEINTURE;JAUNE FORD PROFLEX; 80,00   ;;;;;
PEINTURE;BLANC CASA MILAFLEX; 70,00   ;;;;;
PEINTURE;BLEU France MILAFLEX; 70,00   ;;;;;
DILUANT CELLULOSIQUE;SODECSO 5LT; 23,00   ;;;;;
PEINTURE;GRIS LAAYOUNE MILAFLEX; 70,00   ;;;;;
COLLE;REINZ; 45,00   ;;;;;
JOURNAL;60 JOUIQUE F X ATLAS 76M; 15,00   ;;;;;
PAPIER COLLANT;60 PAPIQUE F X ATLAS 76M; 12,00   ;;;;;
SANTOFER;PRODEC; 35,00   ;;;;;
GRATTOIR AVEC MANCHE PLASTIQUE;M.70 SGS; 24,00   ;;;;;
COUTEAU MASTIC;60 COUIQUE F X ATLAS 76M; 15,00   ;;;;;
TUBE GALVANISEE;"1"" SERIE 1"; 68,50   ;;;;;
MOTEUR HYDRAULIQUE;S/M BONNE OCCASION; 5 000,00   ;;;;;
CONFECTION REDUCTION;"114 MX 3""1/2 REG M ATLAS"; 2 000,00   ;;;;;
CONFECTION REDUCTION;90 M X F ATALS; 1 500,00   ;;;;;
LUNETTE DE PROTECTION;PANAVISION; 18,00   ;;;;;
GANT ANTI COUPURE;60 GANIQUE F X ATLAS 76M; 22,00   ;;;;;
BOTTE ;VERT; 73,00   ;;;;;
ELECTROPOMPE;NS 96/DA34 7,5CH-5,5KW 380 SAER; 9 583,33   ;;;;;
VIS;BTR 10X20 AVEC ECROU+RONDELLE; 2,50   ;;;;;
BOITE DE JOINT TORIQUE;60 BOIIQUE F X ATLAS 76M; 230,00   ;;;;;
ELECTRODE;ALUMINIUM 3,20; 7,00   ;;;;;
REDUCTION ;CR 60 ROD F X 60 N/ROD F; 1 800,00   ;;;;;
LOCATION PICK-UP;TOYOTA 18914-B-59; 250,00   ;;;;;
OXYGENE;; 46,69   ;;;;;
ROULEMENT A GALET;32017 KG; 150,00   ;;;;;
CIMENT ;CPJ 45 SUR PALLETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
TRAITEMENT CHEMISE;110X130X250MM; 60,00   ;;;;;
LOCATION VEHICULE DE PERSONNEL;PERIODE 03/2024; 11 500,00   ;;;;;
TREUIL HYDRAULIQUE ;20 TONNE AVEC CABLE; 19 000,00   ;;;;;
NETTOYEUR HAUT PRESSION ;EAU CHAUD 200 BARS 380V MARQUE LAVOR; 28 333,33   ;;;;;
CIMENT;CLC (A) 45 PMES EN VRAC; 1 635,67   ;;;;;
COURONNE PLEINE;66 F/N ROD MALE MARQUE ROKPECKER; 8 240,00   ;;;;;
BAGUE EN CAOUTCHOUC;73X110X18; 28,75   ;;;;;
MANCHON EN CAOUATCHOUC;47/37,5X28X141 MM AVEC EMBOUT CONIQUE GM; 51,75   ;;;;;
JOINT A LEVRE;DN 68 Sh MALAXEUR; 20,70   ;;;;;
BOBINAGE POMPE A EAU;4KW-7,5KW; 4 731,98   ;;;;;
VIS;BTR 14X30; 9,00   ;;;;;
VIS;TH 8X30; 1,00   ;;;;;
JOINT A LEVRE;20X28; 20,15   ;;;;;
JOINT RACLEUR;12X20X8; 26,00   ;;;;;
LOCATION CHARIOT ELEVATEUR;TELESCOPIQUE 14MT JCB; 800,00   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=500MM FF DC; 114,98   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=1060MM FF DC; 134,98   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=3250MM FF DC; 213,18   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=460MM FF DD; 102,06   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=310MM FF DD; 96,71   ;;;;;
UNION DOUBLE;12L; 16,99   ;;;;;
UNION DOUBLE;12S; 14,00   ;;;;;
ARRET D'HUILE;50X80X10; 31,80   ;;;;;
ARRET D'HUILE;75X95X10; 125,00   ;;;;;
ARRET D'HUILE;75X95X10; 12,00   ;;;;;
JOINT TORIQUE;29X2; 1,40   ;;;;;
JOINT TORIQUE;16X2; 1,40   ;;;;;
ROULEMENT A AIGUILLE;NK20/16  VBF; 17,00   ;;;;;
ROULEMENT A BILLE;6016 2RS ROLLWAY; 265,00   ;;;;;
ARRET D'HUILE;80X110X12; 50,00   ;;;;;
ROULEMENT A GALET;32013 DIV KOYO; 301,00   ;;;;;
ROULEMENT A GALET;NATR 40 VBF; 150,00   ;;;;;
RECHARGE CARTE ;FREE N°2174271; 5 454,55   ;;;;;
RECHARGE CARTE CARBURANT;FREE N°2474694; 5 454,55   ;;;;;
RECHARGE CARTE CARBURANT;FREE N°31817719; 4 545,45   ;;;;;
CAPTEUR DE PESAGE;SAXI 10; 6 666,67   ;;;;;
CAPTEUR DE PRESSION;S2/20 Ma 2FILS 8/30 VCC 0/60 BARS; 1 500,00   ;;;;;
CONFECTION MORS;S/M; 400,00   ;;;;;
CONFECTION MORS;S/M; 400,00   ;;;;;
CHEVRON;70X90; 455,00   ;;;;;
CIMENT ;CLC (A) 45 PMES EN VRAC; 1 635,67   ;;;;;
CONFECTION CABLE EN ACIER;S/M D 20MM; 1 000,00   ;;;;;
ARRET D'HUILE;50X65X8; 16,80   ;;;;;
BOULON;12X60MM A/E; 4,00   ;;;;;
VIS;16X60MM A/E; 5,00   ;;;;;
TIGE TOITURE;7X300 AVEC ECROU+EONDELLE; 2,50   ;;;;;
VIS;HR 8X35; 1,00   ;;;;;
VIS;HR 12X50; 3,00   ;;;;;
RONDELLE PLAT;M 12MM; 0,30   ;;;;;
VIS;BTR 12X50; 4,00   ;;;;;
TIGE FILTEE;M 12MM; 18,00   ;;;;;
ECROU;M 12MM; 0,70   ;;;;;
PAPIER A BRASIF;100 LG= 50MT; 200,00   ;;;;;
DISQUE A COUPER;230X3,20; 15,00   ;;;;;
RACCORD JONCTION;"3"" A/V F"; 224,84   ;;;;;
COUDE;"3"" GR SS"; 180,00   ;;;;;
DEGRIPANT;; 25,00   ;;;;;
CAPTEUR DE PRESSION;S2/20 Ma 2 FILS 8/30 VCC GM 0/60 BARS; 1 500,00   ;;;;;
CAPTEUR DE PRESSION;S2/20 Ma 2 FILS 8/30 VCC GM 0/60 BARS; 1 500,00   ;;;;;
CIMENT;CLC (A) 45 PMES EN VRAC; 1 635,67   ;;;;;
BAGUE D'ETANCHEITE;24X40X7 HP; 1 300,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
TONER;HP LASER 106A; 633,33   ;;;;;
CLASSEUR TRANSPARENT;4 ANNEAUX DOS 08-COULEUR TRANSPARENT; 45,83   ;;;;;
CIMENT;CLC (A) 45 PMES EN VRAC; 1 635,67   ;;;;;
ESSAI DE CONVENANCE;; 1 200,00   ;;;;;
CONTRÔLE DE COULIS D'INJECTION;; 1 000,00   ;;;;;
ETUDE DE FORMULATION;; 2 500,00   ;;;;;
SIKAFLUID;R VRAC; 12,15   ;;;;;
RADIO PORTABLE ;E/R HYTERA AP515 AVEC ANTENNE+BATTERIE+CHARGEUR; 1 850,00   ;;;;;
CHARGEUR DE BATTERIE;DP 1400 MOTOROLA; 600,00   ;;;;;
POMPE HYDRAULIQUE;A10V045 DFR/31R-PSC62K04 REXROTH ALLEMANGE; 24 000,00   ;;;;;
DISQUE A COUPER;230X3,20; 18,00   ;;;;;
CHAUSSURE DE SECURITE;P41; 240,00   ;;;;;
SCOTCH D'EMBALLAGE;50X100; 13,00   ;;;;;
POMPE A GRAISSE;5 KG; 690,00   ;;;;;
CIMENT ;CLC (A) 45 PMES EN VRAC; 1 635,67   ;;;;;
BENTONITE;BENTONIL R 50KG; 4,00   ;;;;;
ARRET D'HUILE;22X32X7; 16,25   ;;;;;
COUPELLE HYDRAULIQUE;22X28X4,8; 26,00   ;;;;;
JOINT TORIQUE;18X3,5; 2,60   ;;;;;
COUPELLE HYDRAULIQUE;22X3,2; 78,00   ;;;;;
JOINT HYDRAULIQUE;25X3,5; 19,50   ;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 3 490,00   ;;;;;
GASOIL;; 11,63   ;;;;;
CHEVRON;75X55; 97,50   ;;;;;
TUYAU A AIR-EAU;20 BARS 38I; 133,00   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 161,00   ;;;;;
COLLIER ROBUSTE;51-55; 20,00   ;;;;;
LOCATION VEHICULE DE PERSONNEL;PERIODE 04/2024; 442,30   ;;;;;
ELECTRODE ;E 312-17 D 4MM CASTOLIN; 330,00   ;;;;;
ETALONNAGE MANOMETRE;60 BARS D 100; 500,00   ;;;;;
ETALONNAGE MANOMETRE;25 BARS D 100; 500,00   ;;;;;
MANOMETRE;60 BARS D 100; 260,00   ;;;;;
MONOMETRE;25 BARS D 100; 247,37   ;;;;;
LOCATION PICK-UP;TOYOTA 18914-B-59; 250,00   ;;;;;
CIMENT ;CLC (A) 45 PMES EN VRAC; 1 635,67   ;;;;;
ROULEMENT A BILLE;6007 2RS WWB; 16,20   ;;;;;
ROULEMENT A BILLE;6204 2RS WWB; 9,60   ;;;;;
ROULEMENT A BILLE;6210 ZZ ROLLWAY; 90,00   ;;;;;
ROULEMENT A BILLE;6209 2RS WWB; 36,60   ;;;;;
ARRET D'HUILE;50X62X10; 4,80   ;;;;;
ARRET D'HUILE;45X62X10; 7,80   ;;;;;
PALIER;UCFL 206 WWB; 60,00   ;;;;;
POMPE IMMERGEE;NS 96/DA34 7,5CH-5,5KW 380 SAER; 9 583,33   ;;;;;
TUBE PVC ;160 PN6; 92,00   ;;;;;
TUBE PEHD;40 PN10; 9,80   ;;;;;
RACCORD PEHD;"40X1""1/4 MALE"; 25,00   ;;;;;
CORDE EN NYLON;M 12MM; 5,00   ;;;;;
COLLE;PVC 1KG; 90,00   ;;;;;
RIVET;POP 4X20; 0,30   ;;;;;
TUBE NOIR;"1""1/2 sch 80"; 190,00   ;;;;;
CABLE ELECTRIQUE SOUPLE;3X2,5MM2; 10,41   ;;;;;
CABLE ELECTRIQUE SOUPLE;3X1,5MM2; 7,08   ;;;;;
ELECTRODE DE NIVEAU;; 23,33   ;;;;;
RESIGNEUSE;M11; 100,00   ;;;;;
DISJONCTEUR;4P 100A; 1 400,00   ;;;;;
DISJONCTEUR;4P 32A; 233,33   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 161,00   ;;;;;
MAMELON;"1"" NOIR EE"; 14,00   ;;;;;
MANCHON;"1"" NOIR EE"; 20,00   ;;;;;
CONFECTION FLEXIBLE;3/4 LG=0,86 MT D/C 90° JIC; 273,46   ;;;;;
CONFECTION FLEXIBLE;1/4 LG=0,86 MT D/C 90° JIC; 161,39   ;;;;;
CABLE;; 25,00   ;;;;;
GAINE;; 15,00   ;;;;;
CROCHET DE CABLE;; 10,00   ;;;;;
ARRET D'HUILE;90X110X12; 18,60   ;;;;;
ARRET D'HUILE;110X130X12 A VITON; 97,20   ;;;;;
ROULEMENT A BILLE;6019 2RS C ROLLWAY; 420,00   ;;;;;
ROULEMENT A BILLE;6013 ZZ ROLLWAY; 136,80   ;;;;;
ROULEMENT A BILLE;6207 ZZC3 ROLLWAY; 49,20   ;;;;;
ROULEMENT A BILLE;7219 BMCB ROLLWAY; 1 219,20   ;;;;;
ROULEMENT A BILLE;7219 ROLLWAY; 1 204,20   ;;;;;
ARRET D'HUILE;90X110X12; 18,60   ;;;;;
ARRET D'HUILE;110X130X12 A VITON; 97,20   ;;;;;
ROULEMENT A BILLE;6019 2RS C ROLLWAY; 420,00   ;;;;;
ROULEMENT A BILLE;6013 ZZ ROLLWAY; 136,80   ;;;;;
ROULEMENT A BILLE;6207 ZZC3 ROLLWAY; 49,20   ;;;;;
GASOIL;; 11,75   ;;;;;
BOBINE;24V DC 18W ED 100%; 350,00   ;;;;;
CIMENT ;CLC (A) 45 PMES EN VRAC; 1 635,67   ;;;;;
FEU ROUGE;AR; 650,00   ;;;;;
RETROVISEUR;; 510,00   ;;;;;
RECHARGE CARTE CARBURANT; N°2174297; 5 454,55   ;;;;;
RECHARGE CARTE CARBURANT;N°31817719; 4 545,45   ;;;;;
GASOIL;; 11,75   ;;;;;
GASOIL;; 11,75   ;;;;;
CONFECTION GUIDE EN BRONZE ;S/M; 400,00   ;;;;;
CONFECTION REDUCTION;76 ATALS F X 60 CONIQUE M; 1 500,00   ;;;;;
CONFECTION MORS;103X60X20; 400,00   ;;;;;
CONFECTION GUIDE EN BRONZE ;S/M; 400,00   ;;;;;
CONFECTION REDUCTION;76 ATALS F X 60 CONIQUE M; 1 500,00   ;;;;;
CONFECTION MORS;103X60X20; 400,00   ;;;;;
TUBE PVC;160 PN6; 92,00   ;;;;;
CIMENT;CLC (A) 45 PMES EN VRAC; 1 633,67   ;;;;;
CIRCLIPS;62 INTERIEUR; 12,00   ;;;;;
ACIER CLAVETTE;8X8X1000; 44,00   ;;;;;
SIKAFLUID;R VRAC; 12,15   ;;;;;
